N,nx,nu,qp_solver,time_tot
1,10,5,PARTIAL_CONDENSING_HPIPM,"[6.7e-05, 1.5e-05, 1.3e-05, 1.3e-05, 1.4e-05, 1.2e-05, 1.6e-05, 1.5e-05, 1.5e-05, 1.5e-05, 1.5e-05, 1.4e-05, 1.4e-05, 1.4e-05, 1.5e-05, 1.5e-05, 1.5e-05, 1.4e-05, 1.5e-05, 1.5e-05, 1.6e-05, 1.5e-05, 1.5e-05, 1.5e-05, 1.5e-05, 1.4e-05, 1.6e-05, 1.5e-05, 1.5e-05, 1.9e-05, 2.1e-05, 1.4e-05, 1.2e-05, 1.3e-05, 1.3e-05, 1.3e-05, 1.3e-05, 1.2e-05, 1.3e-05, 1.3e-05, 1.2e-05, 1.2e-05, 1.2e-05, 1.3e-05, 1.2e-05, 1.3e-05, 1.2e-05, 1.1e-05, 1.1e-05, 3.9e-05]"
1,10,5,FULL_CONDENSING_HPIPM,"[4.7e-05, 1.4e-05, 1.3e-05, 1.3e-05, 1.2e-05, 1.3e-05, 1.2e-05, 2.8e-05, 1.7e-05, 1.2e-05, 1.2e-05, 1.2e-05, 1.1e-05, 1.1e-05, 1.4e-05, 1.4e-05, 1.5e-05, 1.2e-05, 1.3e-05, 1.3e-05, 1.3e-05, 1.4e-05, 1.4e-05, 1.3e-05, 1.4e-05, 1.3e-05, 1.4e-05, 1.4e-05, 1.3e-05, 1.4e-05, 1.4e-05, 1.4e-05, 1.3e-05, 1.4e-05, 1.4e-05, 1.3e-05, 1.3e-05, 1.2e-05, 1.3e-05, 1.5e-05, 1.4e-05, 1.4e-05, 1.3e-05, 1.1e-05, 1.2e-05, 1.3e-05, 1.1e-05, 1.2e-05, 1.1e-05, 1.1e-05]"
2,10,5,PARTIAL_CONDENSING_HPIPM,"[7.1e-05, 2e-05, 1.8e-05, 1.8e-05, 1.8e-05, 1.7e-05, 1.7e-05, 5.9e-05, 4.5e-05, 4.4e-05, 1.9e-05, 1.9e-05, 1.9e-05, 2e-05, 2e-05, 1.9e-05, 1.9e-05, 2e-05, 2e-05, 2.1e-05, 2.7e-05, 2.1e-05, 1.8e-05, 1.9e-05, 2e-05, 2e-05, 1.9e-05, 1.9e-05, 1.9e-05, 1.9e-05, 2e-05, 1.8e-05, 1.9e-05, 1.9e-05, 1.9e-05, 1.9e-05, 2e-05, 1.9e-05, 1.9e-05, 1.8e-05, 1.9e-05, 1.9e-05, 2e-05, 2e-05, 2e-05, 1.9e-05, 3.1e-05, 2.2e-05, 2.1e-05, 3e-05]"
2,10,5,FULL_CONDENSING_HPIPM,"[0.000116, 2.1e-05, 2e-05, 1.9e-05, 2e-05, 2.6e-05, 2.9e-05, 2.2e-05, 1.9e-05, 2.5e-05, 1.9e-05, 2.2e-05, 2.5e-05, 3e-05, 2.2e-05, 2e-05, 2.3e-05, 2.2e-05, 1.9e-05, 2e-05, 1.9e-05, 2e-05, 2.8e-05, 2.1e-05, 2e-05, 2.2e-05, 1.8e-05, 3.1e-05, 2.2e-05, 1.8e-05, 8.1e-05, 4.2e-05, 1.9e-05, 1.8e-05, 1.8e-05, 1.8e-05, 1.8e-05, 1.9e-05, 1.8e-05, 1.9e-05, 1.8e-05, 1.9e-05, 1.8e-05, 2e-05, 1.8e-05, 1.7e-05, 1.9e-05, 1.9e-05, 2e-05, 1.8e-05]"
3,10,5,PARTIAL_CONDENSING_HPIPM,"[6.2e-05, 2.4e-05, 2.2e-05, 2.1e-05, 2e-05, 2.2e-05, 2e-05, 2.1e-05, 2.1e-05, 2.1e-05, 2e-05, 2e-05, 2.2e-05, 2.1e-05, 2e-05, 2.2e-05, 2.1e-05, 3.6e-05, 2.5e-05, 2.1e-05, 2.1e-05, 2e-05, 2e-05, 2.2e-05, 2.1e-05, 2.1e-05, 2e-05, 1.9e-05, 2e-05, 2.2e-05, 2e-05, 2e-05, 2e-05, 2e-05, 2e-05, 2.2e-05, 2.1e-05, 2.1e-05, 2.1e-05, 2.1e-05, 2e-05, 2.6e-05, 2.1e-05, 2e-05, 2.1e-05, 2e-05, 2.1e-05, 2.1e-05, 2.2e-05, 5.9e-05]"
3,10,5,FULL_CONDENSING_HPIPM,"[7.9e-05, 4.3e-05, 3.7e-05, 2.5e-05, 2.3e-05, 2.2e-05, 2.2e-05, 2.2e-05, 2.2e-05, 2.3e-05, 2.2e-05, 2.2e-05, 2.2e-05, 2.1e-05, 2.1e-05, 2.2e-05, 2.2e-05, 2.3e-05, 2.1e-05, 2.1e-05, 2e-05, 2e-05, 2.1e-05, 2.2e-05, 2e-05, 1.9e-05, 2e-05, 1.9e-05, 1.9e-05, 1.9e-05, 2e-05, 1.9e-05, 2e-05, 1.9e-05, 1.9e-05, 1.9e-05, 6.4e-05, 4.7e-05, 4.4e-05, 7.4e-05, 2.3e-05, 2e-05, 1.9e-05, 2.2e-05, 2e-05, 1.9e-05, 1.9e-05, 1.9e-05, 1.9e-05, 2.2e-05]"
4,10,5,PARTIAL_CONDENSING_HPIPM,"[6.2e-05, 3.1e-05, 2.6e-05, 2.4e-05, 2.5e-05, 2.4e-05, 2.5e-05, 2.5e-05, 2.8e-05, 2.5e-05, 2.3e-05, 2.5e-05, 2.4e-05, 3.2e-05, 2.5e-05, 2.4e-05, 2.4e-05, 2.6e-05, 2.4e-05, 2.6e-05, 3.9e-05, 2.6e-05, 2.4e-05, 2.4e-05, 2.4e-05, 2.5e-05, 2.4e-05, 2.5e-05, 2.3e-05, 2.3e-05, 2.4e-05, 2.5e-05, 2.4e-05, 2.4e-05, 2.4e-05, 2.4e-05, 2.4e-05, 2.6e-05, 2.4e-05, 2.4e-05, 2.4e-05, 2.5e-05, 2.4e-05, 2.6e-05, 2.8e-05, 2.3e-05, 2.4e-05, 2.4e-05, 3e-05, 2.5e-05]"
4,10,5,FULL_CONDENSING_HPIPM,"[5.8e-05, 2.7e-05, 2.5e-05, 2.5e-05, 2.4e-05, 2.6e-05, 2.4e-05, 2.3e-05, 2.4e-05, 2.4e-05, 2.3e-05, 2.8e-05, 2.3e-05, 2.3e-05, 2.4e-05, 2.4e-05, 2.3e-05, 2.6e-05, 2.6e-05, 3.4e-05, 2.6e-05, 2.6e-05, 2.4e-05, 2.5e-05, 2.6e-05, 2.4e-05, 2.3e-05, 2.3e-05, 2.8e-05, 2.5e-05, 2.3e-05, 2.4e-05, 2.3e-05, 2.3e-05, 2.4e-05, 2.4e-05, 2.3e-05, 2.3e-05, 2.3e-05, 2.4e-05, 2.3e-05, 2.5e-05, 2.3e-05, 2.3e-05, 2.3e-05, 2.2e-05, 2.3e-05, 2.4e-05, 2.3e-05, 2.3e-05]"
5,10,5,PARTIAL_CONDENSING_HPIPM,"[6.7e-05, 3.1e-05, 2.9e-05, 3.5e-05, 2.8e-05, 4.3e-05, 3.3e-05, 3e-05, 3e-05, 3e-05, 3e-05, 3.1e-05, 3e-05, 3.6e-05, 3.8e-05, 3.9e-05, 3e-05, 3e-05, 3e-05, 2.9e-05, 2.8e-05, 2.8e-05, 2.8e-05, 3.9e-05, 3.3e-05, 3.1e-05, 3.1e-05, 3.1e-05, 7.2e-05, 5.8e-05, 6.5e-05, 2.9e-05, 2.7e-05, 2.7e-05, 2.8e-05, 2.7e-05, 2.9e-05, 4.1e-05, 4.5e-05, 4.5e-05, 3.6e-05, 4.3e-05, 3.2e-05, 2.8e-05, 2.7e-05, 2.9e-05, 2.7e-05, 2.7e-05, 2.8e-05, 2.9e-05]"
5,10,5,FULL_CONDENSING_HPIPM,"[6e-05, 3e-05, 2.9e-05, 2.7e-05, 2.8e-05, 2.8e-05, 2.7e-05, 2.7e-05, 2.8e-05, 2.7e-05, 2.7e-05, 2.8e-05, 2.7e-05, 3.3e-05, 2.7e-05, 2.8e-05, 2.8e-05, 2.9e-05, 2.8e-05, 2.8e-05, 2.7e-05, 2.7e-05, 2.7e-05, 2.8e-05, 2.8e-05, 2.7e-05, 2.7e-05, 2.8e-05, 2.7e-05, 2.8e-05, 2.9e-05, 2.7e-05, 2.8e-05, 2.8e-05, 2.8e-05, 2.7e-05, 2.9e-05, 2.8e-05, 2.7e-05, 2.7e-05, 2.8e-05, 2.8e-05, 2.8e-05, 2.8e-05, 2.7e-05, 2.8e-05, 2.8e-05, 2.7e-05, 2.9e-05, 2.7e-05]"
