N,nx,nu,qp_solver,time_tot
20,1,5,PARTIAL_CONDENSING_HPIPM,"[8e-05, 4.8e-05, 4.5e-05, 4.4e-05, 4.5e-05, 5.6e-05, 5.6e-05, 4.6e-05, 4.4e-05, 4.4e-05, 4.4e-05, 4.4e-05, 4.6e-05, 4.5e-05, 4.4e-05, 5.8e-05, 4.5e-05, 5e-05, 4.4e-05, 4.4e-05, 4.5e-05, 4.5e-05, 4.4e-05, 4.6e-05, 4.4e-05, 4.4e-05, 4.5e-05, 4.4e-05, 5.7e-05, 4.4e-05, 4.4e-05, 4.3e-05, 4.4e-05, 4.6e-05, 4.5e-05, 4.4e-05, 4.5e-05, 4.5e-05, 4.5e-05, 4.6e-05, 4.4e-05, 4.5e-05, 4.5e-05, 4.4e-05, 4.4e-05, 5.8e-05, 4.4e-05, 4.5e-05, 4.5e-05, 4.4e-05]"
20,1,5,FULL_CONDENSING_HPIPM,"[0.000104, 5.9e-05, 5.7e-05, 5.9e-05, 5.6e-05, 6.2e-05, 5.6e-05, 7.4e-05, 5.7e-05, 5.6e-05, 5.6e-05, 5.6e-05, 5.8e-05, 5.6e-05, 5.7e-05, 6.1e-05, 5.7e-05, 5.8e-05, 5.9e-05, 6.1e-05, 6.2e-05, 6e-05, 5.8e-05, 6e-05, 5.9e-05, 5.9e-05, 6e-05, 5.8e-05, 5.8e-05, 5.8e-05, 6.4e-05, 6.3e-05, 5.9e-05, 7.5e-05, 6.6e-05, 6.2e-05, 5.9e-05, 5.8e-05, 5.9e-05, 6.4e-05, 6.1e-05, 6e-05, 5.8e-05, 5.7e-05, 5.8e-05, 5.6e-05, 5.6e-05, 5.7e-05, 5.6e-05, 5.9e-05]"
20,2,5,PARTIAL_CONDENSING_HPIPM,"[8e-05, 5e-05, 4.8e-05, 5e-05, 4.7e-05, 5.4e-05, 5e-05, 4.7e-05, 6e-05, 4.7e-05, 4.7e-05, 4.8e-05, 4.6e-05, 4.7e-05, 4.7e-05, 4.7e-05, 4.8e-05, 4.8e-05, 4.7e-05, 5e-05, 4.9e-05, 5e-05, 4.9e-05, 4.9e-05, 4.7e-05, 4.7e-05, 4.8e-05, 4.7e-05, 4.8e-05, 4.8e-05, 5e-05, 4.8e-05, 4.7e-05, 4.9e-05, 5e-05, 5.6e-05, 5e-05, 4.7e-05, 6.2e-05, 5e-05, 5.3e-05, 4.8e-05, 4.8e-05, 4.7e-05, 4.7e-05, 4.7e-05, 5.8e-05, 5.1e-05, 6.8e-05, 0.000111]"
20,2,5,FULL_CONDENSING_HPIPM,"[9.7e-05, 6.5e-05, 6.4e-05, 6.1e-05, 6.2e-05, 6.1e-05, 6.6e-05, 6.1e-05, 6e-05, 6.1e-05, 7.4e-05, 6.2e-05, 6.2e-05, 6e-05, 6.1e-05, 6.1e-05, 6.2e-05, 6.1e-05, 0.0001, 6.4e-05, 6.2e-05, 6.1e-05, 6.1e-05, 6e-05, 6.1e-05, 9e-05, 6.2e-05, 6.2e-05, 6.1e-05, 6.2e-05, 6.1e-05, 6e-05, 6e-05, 6e-05, 6.2e-05, 6.1e-05, 6e-05, 7.3e-05, 6.3e-05, 6.3e-05, 6.1e-05, 6.2e-05, 6.1e-05, 7e-05, 6.1e-05, 6.1e-05, 6e-05, 6.1e-05, 6.5e-05, 6e-05]"
20,3,5,PARTIAL_CONDENSING_HPIPM,"[0.000121, 4.9e-05, 4.5e-05, 4.5e-05, 4.4e-05, 4.5e-05, 5.4e-05, 0.000104, 0.000103, 4.6e-05, 4.6e-05, 4.5e-05, 4.6e-05, 4.6e-05, 4.5e-05, 4.4e-05, 4.4e-05, 4.5e-05, 4.6e-05, 4.4e-05, 4.4e-05, 4.4e-05, 4.4e-05, 4.6e-05, 4.6e-05, 4.4e-05, 4.4e-05, 4.5e-05, 4.5e-05, 4.8e-05, 4.8e-05, 4.7e-05, 4.6e-05, 4.8e-05, 4.7e-05, 4.6e-05, 4.7e-05, 4.5e-05, 4.6e-05, 4.5e-05, 4.4e-05, 4.4e-05, 4.5e-05, 4.4e-05, 5e-05, 4.5e-05, 4.4e-05, 4.5e-05, 4.5e-05, 4.6e-05]"
20,3,5,FULL_CONDENSING_HPIPM,"[8.9e-05, 6.2e-05, 6e-05, 5.9e-05, 5.8e-05, 5.7e-05, 5.8e-05, 0.000133, 0.000122, 7.1e-05, 8.5e-05, 6.5e-05, 9.2e-05, 7.1e-05, 6.7e-05, 6e-05, 5.9e-05, 6.1e-05, 6.1e-05, 6e-05, 5.9e-05, 6e-05, 7.2e-05, 6e-05, 6.3e-05, 5.9e-05, 5.9e-05, 7.2e-05, 5.9e-05, 5.9e-05, 5.9e-05, 6e-05, 6e-05, 6e-05, 5.9e-05, 5.9e-05, 6e-05, 6e-05, 6e-05, 5.9e-05, 5.9e-05, 7.8e-05, 5.9e-05, 5.9e-05, 6e-05, 5.9e-05, 7.6e-05, 6e-05, 6e-05, 6.4e-05]"
20,4,5,PARTIAL_CONDENSING_HPIPM,"[8.2e-05, 5.5e-05, 5.4e-05, 5.2e-05, 5.1e-05, 5e-05, 5.1e-05, 6.2e-05, 5e-05, 5.1e-05, 5.1e-05, 6.2e-05, 5.7e-05, 5.1e-05, 5e-05, 5.1e-05, 5.8e-05, 6.8e-05, 5.1e-05, 5.2e-05, 5.2e-05, 5.1e-05, 5.8e-05, 5.2e-05, 5.2e-05, 5.1e-05, 5.2e-05, 5.1e-05, 5.2e-05, 5.1e-05, 5e-05, 5.1e-05, 5.1e-05, 5.2e-05, 5e-05, 5.8e-05, 5.2e-05, 5.1e-05, 6.3e-05, 5.1e-05, 5.1e-05, 5.2e-05, 5.1e-05, 5.2e-05, 5.3e-05, 5.2e-05, 5.2e-05, 5.1e-05, 5.1e-05, 5.3e-05]"
20,4,5,FULL_CONDENSING_HPIPM,"[0.0001, 7e-05, 6.8e-05, 6.8e-05, 6.8e-05, 6.8e-05, 6.8e-05, 6.8e-05, 7.4e-05, 6.8e-05, 7e-05, 6.9e-05, 7e-05, 7.5e-05, 6.9e-05, 6.9e-05, 6.9e-05, 7.1e-05, 6.9e-05, 7.8e-05, 6.8e-05, 9.1e-05, 6.7e-05, 6.6e-05, 6.9e-05, 6.8e-05, 6.9e-05, 6.8e-05, 6.7e-05, 6.9e-05, 7.3e-05, 6.9e-05, 6.8e-05, 6.8e-05, 6.8e-05, 6.9e-05, 6.9e-05, 6.9e-05, 6.9e-05, 7.9e-05, 7.5e-05, 7e-05, 7.1e-05, 6.9e-05, 6.9e-05, 7e-05, 6.9e-05, 6.8e-05, 7.5e-05, 6.7e-05]"
20,5,5,PARTIAL_CONDENSING_HPIPM,"[8.7e-05, 5.9e-05, 5.7e-05, 5.7e-05, 6.5e-05, 5.7e-05, 5.5e-05, 5.5e-05, 5.5e-05, 0.000101, 7.5e-05, 5.7e-05, 5.6e-05, 6.3e-05, 5.7e-05, 5.6e-05, 5.6e-05, 5.7e-05, 5.8e-05, 5.6e-05, 5.6e-05, 5.6e-05, 5.6e-05, 5.7e-05, 5.6e-05, 5.6e-05, 5.6e-05, 5.6e-05, 5.7e-05, 5.6e-05, 5.5e-05, 5.6e-05, 5.5e-05, 6.4e-05, 5.5e-05, 5.5e-05, 5.6e-05, 5.6e-05, 0.0001, 8e-05, 5.6e-05, 5.5e-05, 6.5e-05, 5.6e-05, 5.5e-05, 5.5e-05, 5.5e-05, 5.6e-05, 5.7e-05, 5.6e-05]"
20,5,5,FULL_CONDENSING_HPIPM,"[0.0002, 0.000164, 0.000158, 7.2e-05, 7.2e-05, 7.2e-05, 7.2e-05, 7.1e-05, 7.1e-05, 7.7e-05, 7.2e-05, 0.000113, 0.00011, 0.0001, 7.7e-05, 7.3e-05, 9.6e-05, 7.7e-05, 7.3e-05, 7.2e-05, 7.3e-05, 7.2e-05, 7.7e-05, 7.1e-05, 7.2e-05, 7.2e-05, 7.2e-05, 7.1e-05, 7.2e-05, 7.2e-05, 7.3e-05, 7.1e-05, 7.1e-05, 7.1e-05, 7.7e-05, 7.2e-05, 7.2e-05, 7.2e-05, 7.2e-05, 7.7e-05, 7.2e-05, 7.1e-05, 7.2e-05, 7.1e-05, 7.8e-05, 8.8e-05, 7.5e-05, 7.2e-05, 7.6e-05, 7.2e-05]"
